timestamp_utc,event_type,instrument,units,nav,regime_bull,signal_json,target_position_json,current_positions_json,target_units_json,order_deltas_json,response_json
2026-04-09 12:36:00+00:00,HISTORICAL_REPLAY_FILL,EUR_USD,1,100009.33285868437,True,"{""EURUSD"": -1.0, ""GBPUSD"": -1.0, ""USDJPY"": 1.0}","{""EURUSD"": -0.3333333333333333, ""GBPUSD"": -0.3333333333333333, ""USDJPY"": 0.3333333333333333}","{""EUR_USD"": -17124, ""GBP_USD"": -14914, ""USD_JPY"": 20002}","{""EUR_USD"": -17123, ""GBP_USD"": -14913, ""USD_JPY"": 20001}","{""EUR_USD"": 1, ""GBP_USD"": 1, ""USD_JPY"": -1}","{""mode"": ""historical_replay"", ""filled"": true, ""instrument"": ""EUR_USD"", ""units"": 1, ""timestamp_utc"": ""2026-04-09 12:36:00+00:00""}"
2026-04-09 12:36:00+00:00,HISTORICAL_REPLAY_FILL,GBP_USD,1,100009.33285868437,True,"{""EURUSD"": -1.0, ""GBPUSD"": -1.0, ""USDJPY"": 1.0}","{""EURUSD"": -0.3333333333333333, ""GBPUSD"": -0.3333333333333333, ""USDJPY"": 0.3333333333333333}","{""EUR_USD"": -17123, ""GBP_USD"": -14914, ""USD_JPY"": 20002}","{""EUR_USD"": -17123, ""GBP_USD"": -14913, ""USD_JPY"": 20001}","{""EUR_USD"": 1, ""GBP_USD"": 1, ""USD_JPY"": -1}","{""mode"": ""historical_replay"", ""filled"": true, ""instrument"": ""GBP_USD"", ""units"": 1, ""timestamp_utc"": ""2026-04-09 12:36:00+00:00""}"
2026-04-09 12:36:00+00:00,HISTORICAL_REPLAY_FILL,USD_JPY,-1,100009.33285868437,True,"{""EURUSD"": -1.0, ""GBPUSD"": -1.0, ""USDJPY"": 1.0}","{""EURUSD"": -0.3333333333333333, ""GBPUSD"": -0.3333333333333333, ""USDJPY"": 0.3333333333333333}","{""EUR_USD"": -17123, ""GBP_USD"": -14913, ""USD_JPY"": 20002}","{""EUR_USD"": -17123, ""GBP_USD"": -14913, ""USD_JPY"": 20001}","{""EUR_USD"": 1, ""GBP_USD"": 1, ""USD_JPY"": -1}","{""mode"": ""historical_replay"", ""filled"": true, ""instrument"": ""USD_JPY"", ""units"": -1, ""timestamp_utc"": ""2026-04-09 12:36:00+00:00""}"
2026-04-09 12:37:00+00:00,HISTORICAL_REPLAY_FILL,EUR_USD,5710,100002.02010393694,False,"{""EURUSD"": -1.0, ""GBPUSD"": -1.0, ""USDJPY"": 1.0}","{""EURUSD"": -0.3333333333333333, ""GBPUSD"": -0.3333333333333333, ""USDJPY"": 0.3333333333333333}","{""EUR_USD"": -17123, ""GBP_USD"": -14913, ""USD_JPY"": 20001}","{""EUR_USD"": -11413, ""GBP_USD"": -9940, ""USD_JPY"": 13333}","{""EUR_USD"": 5710, ""GBP_USD"": 4973, ""USD_JPY"": -6668}","{""mode"": ""historical_replay"", ""filled"": true, ""instrument"": ""EUR_USD"", ""units"": 5710, ""timestamp_utc"": ""2026-04-09 12:37:00+00:00""}"
2026-04-09 12:37:00+00:00,HISTORICAL_REPLAY_FILL,GBP_USD,4973,100002.02010393694,False,"{""EURUSD"": -1.0, ""GBPUSD"": -1.0, ""USDJPY"": 1.0}","{""EURUSD"": -0.3333333333333333, ""GBPUSD"": -0.3333333333333333, ""USDJPY"": 0.3333333333333333}","{""EUR_USD"": -11413, ""GBP_USD"": -14913, ""USD_JPY"": 20001}","{""EUR_USD"": -11413, ""GBP_USD"": -9940, ""USD_JPY"": 13333}","{""EUR_USD"": 5710, ""GBP_USD"": 4973, ""USD_JPY"": -6668}","{""mode"": ""historical_replay"", ""filled"": true, ""instrument"": ""GBP_USD"", ""units"": 4973, ""timestamp_utc"": ""2026-04-09 12:37:00+00:00""}"
2026-04-09 12:37:00+00:00,HISTORICAL_REPLAY_FILL,USD_JPY,-6668,100002.02010393694,False,"{""EURUSD"": -1.0, ""GBPUSD"": -1.0, ""USDJPY"": 1.0}","{""EURUSD"": -0.3333333333333333, ""GBPUSD"": -0.3333333333333333, ""USDJPY"": 0.3333333333333333}","{""EUR_USD"": -11413, ""GBP_USD"": -9940, ""USD_JPY"": 20001}","{""EUR_USD"": -11413, ""GBP_USD"": -9940, ""USD_JPY"": 13333}","{""EUR_USD"": 5710, ""GBP_USD"": 4973, ""USD_JPY"": -6668}","{""mode"": ""historical_replay"", ""filled"": true, ""instrument"": ""USD_JPY"", ""units"": -6668, ""timestamp_utc"": ""2026-04-09 12:37:00+00:00""}"
2026-04-09 12:38:00+00:00,HISTORICAL_REPLAY_FILL,EUR_USD,-5709,100006.57769631859,True,"{""EURUSD"": -1.0, ""GBPUSD"": -1.0, ""USDJPY"": 1.0}","{""EURUSD"": -0.3333333333333333, ""GBPUSD"": -0.3333333333333333, ""USDJPY"": 0.3333333333333333}","{""EUR_USD"": -11413, ""GBP_USD"": -9940, ""USD_JPY"": 13333}","{""EUR_USD"": -17122, ""GBP_USD"": -14913, ""USD_JPY"": 20001}","{""EUR_USD"": -5709, ""GBP_USD"": -4973, ""USD_JPY"": 6668}","{""mode"": ""historical_replay"", ""filled"": true, ""instrument"": ""EUR_USD"", ""units"": -5709, ""timestamp_utc"": ""2026-04-09 12:38:00+00:00""}"
2026-04-09 12:38:00+00:00,HISTORICAL_REPLAY_FILL,GBP_USD,-4973,100006.57769631859,True,"{""EURUSD"": -1.0, ""GBPUSD"": -1.0, ""USDJPY"": 1.0}","{""EURUSD"": -0.3333333333333333, ""GBPUSD"": -0.3333333333333333, ""USDJPY"": 0.3333333333333333}","{""EUR_USD"": -17122, ""GBP_USD"": -9940, ""USD_JPY"": 13333}","{""EUR_USD"": -17122, ""GBP_USD"": -14913, ""USD_JPY"": 20001}","{""EUR_USD"": -5709, ""GBP_USD"": -4973, ""USD_JPY"": 6668}","{""mode"": ""historical_replay"", ""filled"": true, ""instrument"": ""GBP_USD"", ""units"": -4973, ""timestamp_utc"": ""2026-04-09 12:38:00+00:00""}"
2026-04-09 12:38:00+00:00,HISTORICAL_REPLAY_FILL,USD_JPY,6668,100006.57769631859,True,"{""EURUSD"": -1.0, ""GBPUSD"": -1.0, ""USDJPY"": 1.0}","{""EURUSD"": -0.3333333333333333, ""GBPUSD"": -0.3333333333333333, ""USDJPY"": 0.3333333333333333}","{""EUR_USD"": -17122, ""GBP_USD"": -14913, ""USD_JPY"": 13333}","{""EUR_USD"": -17122, ""GBP_USD"": -14913, ""USD_JPY"": 20001}","{""EUR_USD"": -5709, ""GBP_USD"": -4973, ""USD_JPY"": 6668}","{""mode"": ""historical_replay"", ""filled"": true, ""instrument"": ""USD_JPY"", ""units"": 6668, ""timestamp_utc"": ""2026-04-09 12:38:00+00:00""}"
2026-04-09 12:39:00+00:00,HISTORICAL_REPLAY_FILL,EUR_USD,3,100001.2681973993,True,"{""EURUSD"": -1.0, ""GBPUSD"": -1.0, ""USDJPY"": 1.0}","{""EURUSD"": -0.3333333333333333, ""GBPUSD"": -0.3333333333333333, ""USDJPY"": 0.3333333333333333}","{""EUR_USD"": -17122, ""GBP_USD"": -14913, ""USD_JPY"": 20001}","{""EUR_USD"": -17119, ""GBP_USD"": -14911, ""USD_JPY"": 20000}","{""EUR_USD"": 3, ""GBP_USD"": 2, ""USD_JPY"": -1}","{""mode"": ""historical_replay"", ""filled"": true, ""instrument"": ""EUR_USD"", ""units"": 3, ""timestamp_utc"": ""2026-04-09 12:39:00+00:00""}"
2026-04-09 12:39:00+00:00,HISTORICAL_REPLAY_FILL,GBP_USD,2,100001.2681973993,True,"{""EURUSD"": -1.0, ""GBPUSD"": -1.0, ""USDJPY"": 1.0}","{""EURUSD"": -0.3333333333333333, ""GBPUSD"": -0.3333333333333333, ""USDJPY"": 0.3333333333333333}","{""EUR_USD"": -17119, ""GBP_USD"": -14913, ""USD_JPY"": 20001}","{""EUR_USD"": -17119, ""GBP_USD"": -14911, ""USD_JPY"": 20000}","{""EUR_USD"": 3, ""GBP_USD"": 2, ""USD_JPY"": -1}","{""mode"": ""historical_replay"", ""filled"": true, ""instrument"": ""GBP_USD"", ""units"": 2, ""timestamp_utc"": ""2026-04-09 12:39:00+00:00""}"
2026-04-09 12:39:00+00:00,HISTORICAL_REPLAY_FILL,USD_JPY,-1,100001.2681973993,True,"{""EURUSD"": -1.0, ""GBPUSD"": -1.0, ""USDJPY"": 1.0}","{""EURUSD"": -0.3333333333333333, ""GBPUSD"": -0.3333333333333333, ""USDJPY"": 0.3333333333333333}","{""EUR_USD"": -17119, ""GBP_USD"": -14911, ""USD_JPY"": 20001}","{""EUR_USD"": -17119, ""GBP_USD"": -14911, ""USD_JPY"": 20000}","{""EUR_USD"": 3, ""GBP_USD"": 2, ""USD_JPY"": -1}","{""mode"": ""historical_replay"", ""filled"": true, ""instrument"": ""USD_JPY"", ""units"": -1, ""timestamp_utc"": ""2026-04-09 12:39:00+00:00""}"
2026-04-09 12:40:00+00:00,HISTORICAL_REPLAY_FILL,EUR_USD,5708,99998.86941852841,False,"{""EURUSD"": -1.0, ""GBPUSD"": -1.0, ""USDJPY"": 1.0}","{""EURUSD"": -0.3333333333333333, ""GBPUSD"": -0.3333333333333333, ""USDJPY"": 0.3333333333333333}","{""EUR_USD"": -17119, ""GBP_USD"": -14911, ""USD_JPY"": 20000}","{""EUR_USD"": -11411, ""GBP_USD"": -9940, ""USD_JPY"": 13333}","{""EUR_USD"": 5708, ""GBP_USD"": 4971, ""USD_JPY"": -6667}","{""mode"": ""historical_replay"", ""filled"": true, ""instrument"": ""EUR_USD"", ""units"": 5708, ""timestamp_utc"": ""2026-04-09 12:40:00+00:00""}"
2026-04-09 12:40:00+00:00,HISTORICAL_REPLAY_FILL,GBP_USD,4971,99998.86941852841,False,"{""EURUSD"": -1.0, ""GBPUSD"": -1.0, ""USDJPY"": 1.0}","{""EURUSD"": -0.3333333333333333, ""GBPUSD"": -0.3333333333333333, ""USDJPY"": 0.3333333333333333}","{""EUR_USD"": -11411, ""GBP_USD"": -14911, ""USD_JPY"": 20000}","{""EUR_USD"": -11411, ""GBP_USD"": -9940, ""USD_JPY"": 13333}","{""EUR_USD"": 5708, ""GBP_USD"": 4971, ""USD_JPY"": -6667}","{""mode"": ""historical_replay"", ""filled"": true, ""instrument"": ""GBP_USD"", ""units"": 4971, ""timestamp_utc"": ""2026-04-09 12:40:00+00:00""}"
2026-04-09 12:40:00+00:00,HISTORICAL_REPLAY_FILL,USD_JPY,-6667,99998.86941852841,False,"{""EURUSD"": -1.0, ""GBPUSD"": -1.0, ""USDJPY"": 1.0}","{""EURUSD"": -0.3333333333333333, ""GBPUSD"": -0.3333333333333333, ""USDJPY"": 0.3333333333333333}","{""EUR_USD"": -11411, ""GBP_USD"": -9940, ""USD_JPY"": 20000}","{""EUR_USD"": -11411, ""GBP_USD"": -9940, ""USD_JPY"": 13333}","{""EUR_USD"": 5708, ""GBP_USD"": 4971, ""USD_JPY"": -6667}","{""mode"": ""historical_replay"", ""filled"": true, ""instrument"": ""USD_JPY"", ""units"": -6667, ""timestamp_utc"": ""2026-04-09 12:40:00+00:00""}"
2026-04-09 12:41:00+00:00,HISTORICAL_REPLAY_FILL,EUR_USD,1,99995.03604896182,False,"{""EURUSD"": -1.0, ""GBPUSD"": -1.0, ""USDJPY"": 1.0}","{""EURUSD"": -0.3333333333333333, ""GBPUSD"": -0.3333333333333333, ""USDJPY"": 0.3333333333333333}","{""EUR_USD"": -11411, ""GBP_USD"": -9940, ""USD_JPY"": 13333}","{""EUR_USD"": -11410, ""GBP_USD"": -9939, ""USD_JPY"": 13332}","{""EUR_USD"": 1, ""GBP_USD"": 1, ""USD_JPY"": -1}","{""mode"": ""historical_replay"", ""filled"": true, ""instrument"": ""EUR_USD"", ""units"": 1, ""timestamp_utc"": ""2026-04-09 12:41:00+00:00""}"
