timestamp_utc,nav,benchmark_index,regime_bull,signal_json,target_position_json,current_positions_json,target_units_json,order_deltas_json
2026-04-09 13:09:00+00:00,99980.94059165112,1.0000282343483107,False,"{""EURUSD"": 1.0, ""GBPUSD"": 1.0, ""USDJPY"": -1.0}","{""EURUSD"": 0.3333333333333333, ""GBPUSD"": 0.3333333333333333, ""USDJPY"": -0.3333333333333333}","{""EUR_USD"": 11407, ""GBP_USD"": -9934, ""USD_JPY"": -13330}","{""EUR_USD"": 11409, ""GBP_USD"": 9936, ""USD_JPY"": -13330}","{""EUR_USD"": 2, ""GBP_USD"": 19870}"
2026-04-09 13:10:00+00:00,99980.88476916165,0.9999657596609303,False,"{""EURUSD"": 1.0, ""GBPUSD"": 1.0, ""USDJPY"": -1.0}","{""EURUSD"": 0.3333333333333333, ""GBPUSD"": 0.3333333333333333, ""USDJPY"": -0.3333333333333333}","{""EUR_USD"": 11409, ""GBP_USD"": 9936, ""USD_JPY"": -13330}","{""EUR_USD"": 11409, ""GBP_USD"": 9937, ""USD_JPY"": -13330}","{""GBP_USD"": 1}"
2026-04-09 13:11:00+00:00,99985.98638105305,0.9998876198636316,False,"{""EURUSD"": 1.0, ""GBPUSD"": 1.0, ""USDJPY"": -1.0}","{""EURUSD"": 0.3333333333333333, ""GBPUSD"": 0.3333333333333333, ""USDJPY"": -0.3333333333333333}","{""EUR_USD"": 11409, ""GBP_USD"": 9937, ""USD_JPY"": -13330}","{""EUR_USD"": 11408, ""GBP_USD"": 9935, ""USD_JPY"": -13331}","{""EUR_USD"": -1, ""GBP_USD"": -2, ""USD_JPY"": -1}"
2026-04-09 13:12:00+00:00,99989.23060653835,0.9997583981861659,False,"{""EURUSD"": 1.0, ""GBPUSD"": 1.0, ""USDJPY"": -1.0}","{""EURUSD"": 0.3333333333333333, ""GBPUSD"": 0.3333333333333333, ""USDJPY"": -0.3333333333333333}","{""EUR_USD"": 11408, ""GBP_USD"": 9935, ""USD_JPY"": -13331}","{""EUR_USD"": 11407, ""GBP_USD"": 9936, ""USD_JPY"": -13331}","{""EUR_USD"": -1, ""GBP_USD"": 1}"
2026-04-09 13:13:00+00:00,99989.33638138579,0.9997210000581402,False,"{""EURUSD"": 1.0, ""GBPUSD"": 1.0, ""USDJPY"": -1.0}","{""EURUSD"": 0.3333333333333333, ""GBPUSD"": 0.3333333333333333, ""USDJPY"": -0.3333333333333333}","{""EUR_USD"": 11407, ""GBP_USD"": 9936, ""USD_JPY"": -13331}","{""EUR_USD"": 11407, ""GBP_USD"": 9936, ""USD_JPY"": -13331}",{}
2026-04-09 13:14:00+00:00,99989.44450355839,0.9997023629115582,False,"{""EURUSD"": 1.0, ""GBPUSD"": 1.0, ""USDJPY"": -1.0}","{""EURUSD"": 0.3333333333333333, ""GBPUSD"": 0.3333333333333333, ""USDJPY"": -0.3333333333333333}","{""EUR_USD"": 11407, ""GBP_USD"": 9936, ""USD_JPY"": -13331}","{""EUR_USD"": 11408, ""GBP_USD"": 9936, ""USD_JPY"": -13331}","{""EUR_USD"": 1}"
2026-04-09 13:15:00+00:00,99994.20766312427,0.9996553056643736,False,"{""EURUSD"": 1.0, ""GBPUSD"": 1.0, ""USDJPY"": -1.0}","{""EURUSD"": 0.3333333333333333, ""GBPUSD"": 0.3333333333333333, ""USDJPY"": -0.3333333333333333}","{""EUR_USD"": 11408, ""GBP_USD"": 9936, ""USD_JPY"": -13331}","{""EUR_USD"": 11408, ""GBP_USD"": 9934, ""USD_JPY"": -13332}","{""GBP_USD"": -2, ""USD_JPY"": -1}"
2026-04-09 13:16:00+00:00,99992.40187336649,0.999722919498486,False,"{""EURUSD"": 1.0, ""GBPUSD"": 1.0, ""USDJPY"": -1.0}","{""EURUSD"": 0.3333333333333333, ""GBPUSD"": 0.3333333333333333, ""USDJPY"": -0.3333333333333333}","{""EUR_USD"": 11408, ""GBP_USD"": 9934, ""USD_JPY"": -13332}","{""EUR_USD"": 11408, ""GBP_USD"": 9934, ""USD_JPY"": -13332}",{}
2026-04-09 13:17:00+00:00,99997.70108773922,0.9995762371056175,False,"{""EURUSD"": 1.0, ""GBPUSD"": 1.0, ""USDJPY"": -1.0}","{""EURUSD"": 0.3333333333333333, ""GBPUSD"": 0.3333333333333333, ""USDJPY"": -0.3333333333333333}","{""EUR_USD"": 11408, ""GBP_USD"": 9934, ""USD_JPY"": -13332}","{""EUR_USD"": 11407, ""GBP_USD"": 9933, ""USD_JPY"": -13333}","{""EUR_USD"": -1, ""GBP_USD"": -1, ""USD_JPY"": -1}"
2026-04-09 13:18:00+00:00,100002.86863783261,0.9994668909233442,False,"{""EURUSD"": 1.0, ""GBPUSD"": 1.0, ""USDJPY"": -1.0}","{""EURUSD"": 0.3333333333333333, ""GBPUSD"": 0.3333333333333333, ""USDJPY"": -0.3333333333333333}","{""EUR_USD"": 11407, ""GBP_USD"": 9933, ""USD_JPY"": -13333}","{""EUR_USD"": 11406, ""GBP_USD"": 9933, ""USD_JPY"": -13333}","{""EUR_USD"": -1}"
